departure_city,start_date,duration_days,num_people,budget_per_person_inr,preferred_pace,accommodation_style,interests,destination
Delhi,21-09-26,5,1,43927,Balanced,Luxury Hotels,Beaches|Culture|Spiritual,Bali
Jaipur,02-03-26,4,2,89467,Balanced,Luxury Hotels,Nightlife|Spiritual,Dubai
Kochi,09-09-26,6,6,26485,Balanced,Private Apartments,Adventure|Culture,Da Nang
Pune,26-08-26,4,3,32995,Balanced,Mid-range Hotels,Adventure|Culture|Nature,Da Nang
Kolkata,10-11-25,3,4,45205,Relaxed,Private Apartments,Beaches|Spiritual,Langkawi
Hyderabad,05-01-26,8,2,70713,Balanced,Mid-range Hotels,Adventure,Ladakh
Kochi,22-11-25,4,4,11624,Balanced,Private Apartments,Spiritual,Rishikesh
Bangalore,09-10-26,6,5,27432,Relaxed,Private Apartments,Beaches,Langkawi
Ahmedabad,23-05-26,8,5,22270,Balanced,Private Apartments,Food|Nature,Manali
Chennai,23-07-26,3,3,30745,Relaxed,Mid-range Hotels,Adventure|History|Nature,Coorg
Ahmedabad,30-09-26,4,6,62134,Balanced,Luxury Hotels,History|Nightlife,Singapore
Mumbai,06-04-26,6,4,54139,Balanced,Luxury Hotels,Culture|Food|History,Istanbul
Kochi,16-11-25,5,4,17553,Balanced,Private Apartments,Nature,Rishikesh
Kochi,03-04-26,7,6,43027,Balanced,Luxury Hotels,History,Istanbul
Ahmedabad,02-07-26,2,6,12445,Relaxed,Budget,History|Spiritual,Varanasi
Bangalore,26-02-26,4,5,63165,Balanced,Luxury Hotels,Culture|Food|Nightlife,Singapore
Kolkata,25-09-26,2,6,17206,Relaxed,Mid-range Hotels,Culture|Nightlife,Varanasi
Ahmedabad,24-04-26,7,1,61915,Action-Packed,Mid-range Hotels,Adventure,Ladakh
Kolkata,23-12-25,5,5,21634,Balanced,Mid-range Hotels,Adventure|Beaches|History,Shimla
Kochi,22-02-26,6,6,16167,Balanced,Private Apartments,Culture|Spiritual,Pokhara
Pune,20-11-25,7,6,57892,Balanced,Private Apartments,Culture|Nature,Ladakh
Kochi,05-12-25,5,4,15773,Relaxed,Private Apartments,Culture|Nightlife,Ooty
Chennai,22-04-26,7,4,44805,Relaxed,Luxury Hotels,Adventure|Beaches,Bali
Kolkata,15-08-26,4,1,29272,Relaxed,Private Apartments,Adventure|Culture,Manali
Jaipur,26-03-26,5,4,18828,Balanced,Budget,Adventure,Rishikesh
Jaipur,17-05-26,6,4,52936,Balanced,Private Apartments,Food|Spiritual,Andaman & Nicobar Islands
Kochi,08-01-26,5,5,41078,Balanced,Mid-range Hotels,History|Nature|Nightlife,Istanbul
Jaipur,01-02-26,2,6,12652,Relaxed,Mid-range Hotels,Culture|Nature,Varanasi
Delhi,08-01-26,2,4,16362,Relaxed,Mid-range Hotels,Nature,Shimla
Mumbai,28-08-26,4,6,21687,Relaxed,Mid-range Hotels,Culture|Food,Coorg
Pune,29-10-26,6,3,80435,Action-Packed,Private Apartments,Culture|Food,Dubai
Bangalore,18-10-26,6,5,38056,Relaxed,Luxury Hotels,Adventure|Beaches|Culture,Bali
Kochi,23-07-26,2,2,19148,Relaxed,Mid-range Hotels,Spiritual,Varanasi
Bangalore,17-12-25,6,4,22784,Relaxed,Mid-range Hotels,Food|Spiritual,Coorg
Ahmedabad,20-12-25,3,1,40293,Balanced,Budget,Beaches,Phuket
Kolkata,23-07-26,3,1,72684,Balanced,Mid-range Hotels,Culture|Nightlife,Singapore
Kolkata,04-02-26,6,1,42331,Balanced,Budget,Nightlife,Phuket
Pune,30-11-25,10,6,50416,Action-Packed,Mid-range Hotels,Adventure|Beaches|Nature,Ladakh
Hyderabad,20-07-26,4,6,36652,Balanced,Mid-range Hotels,Culture,Da Nang
Ahmedabad,06-07-26,7,6,53765,Balanced,Luxury Hotels,Culture|Nature,Istanbul
Kolkata,12-05-26,5,1,27950,Relaxed,Budget,Culture|Nature,Ooty
Hyderabad,25-02-26,6,2,50296,Relaxed,Mid-range Hotels,Adventure|Nature,Bali
Pune,07-12-25,5,5,64795,Balanced,Private Apartments,Culture,Dubai
Delhi,06-08-26,8,4,17357,Balanced,Private Apartments,Adventure|Culture,Manali
Bangalore,25-12-25,5,6,14913,Relaxed,Budget,Nature,Shimla
Bangalore,12-01-26,4,1,23475,Relaxed,Private Apartments,Culture|History,Ooty
Bangalore,05-01-26,5,1,67509,Balanced,Luxury Hotels,Beaches|Food|Spiritual,Singapore
Jaipur,17-03-26,6,5,83760,Relaxed,Luxury Hotels,Nature,Maldives
Pune,03-04-26,4,5,65422,Action-Packed,Private Apartments,Adventure|Food|Nature,Dubai
Bangalore,14-05-26,7,3,52048,Balanced,Mid-range Hotels,Food,Phuket
Bangalore,12-08-26,5,6,29244,Balanced,Mid-range Hotels,Beaches|Food|History,Da Nang
Kochi,22-07-26,3,1,42630,Balanced,Private Apartments,Culture|Spiritual,Da Nang
Delhi,06-07-26,5,3,73377,Balanced,Mid-range Hotels,Food|History,Singapore
Bangalore,16-03-26,6,3,44275,Balanced,Budget,Beaches,Goa
Jaipur,19-02-26,5,2,132467,Relaxed,Private Apartments,Adventure|History|Nature,Maldives
Kochi,07-07-26,6,6,122932,Relaxed,Private Apartments,Adventure|Nature,Maldives
Bangalore,10-03-26,8,6,21946,Balanced,Budget,Nature,Manali
Kolkata,09-11-25,6,6,82489,Relaxed,Luxury Hotels,Nature,Maldives
Bangalore,09-10-26,6,5,27432,Relaxed,Private Apartments,Beaches,Langkawi
Chennai,14-06-26,5,2,70897,Balanced,Mid-range Hotels,Culture|Food,Singapore
Jaipur,17-12-25,5,1,60260,Balanced,Mid-range Hotels,Beaches|Food|Nightlife,Singapore
Mumbai,04-09-26,3,2,38581,Balanced,Private Apartments,Beaches,Da Nang
Delhi,16-12-25,7,4,61959,Action-Packed,Mid-range Hotels,Nature,Ladakh
Kolkata,06-05-26,4,1,37111,Balanced,Private Apartments,Culture,Jaipur
Kochi,22-02-26,6,6,16167,Balanced,Private Apartments,Culture|Spiritual,Pokhara
Bangalore,10-03-26,8,6,21946,Balanced,Budget,Nature,Manali
Bangalore,05-07-26,3,1,99716,Action-Packed,Luxury Hotels,Adventure|Food|Spiritual,Dubai
Mumbai,02-10-26,4,3,28437,Balanced,Private Apartments,Culture|Food,Jaipur
Jaipur,10-12-25,5,2,35656,Balanced,Private Apartments,History,Jaipur
Pune,23-02-26,3,2,76335,Balanced,Mid-range Hotels,Nightlife|Spiritual,Singapore
Kolkata,03-08-26,3,4,14231,Relaxed,Budget,History|Nature|Spiritual,Pokhara
Hyderabad,27-11-25,3,1,44754,Relaxed,Private Apartments,Beaches|Nature|Spiritual,Langkawi
Kolkata,17-10-26,5,2,31570,Relaxed,Mid-range Hotels,Beaches,Langkawi
Chennai,21-08-26,6,2,19140,Relaxed,Budget,Food|Nature,Shimla
Kolkata,24-08-26,6,3,37635,Balanced,Mid-range Hotels,Adventure|Nightlife,Phuket
Delhi,06-02-26,1,2,18740,Relaxed,Mid-range Hotels,History|Spiritual,Varanasi
Delhi,15-01-26,6,3,25037,Relaxed,Mid-range Hotels,Nature,Coorg
Hyderabad,07-09-26,6,5,29335,Balanced,Mid-range Hotels,Beaches,Phuket
Kolkata,01-06-26,3,5,17421,Balanced,Private Apartments,Beaches|Culture|Nature,Rishikesh
Kochi,23-07-26,2,2,19148,Relaxed,Mid-range Hotels,Spiritual,Varanasi
Delhi,29-05-26,8,3,25975,Balanced,Private Apartments,Beaches|Nature|Nightlife,Manali
Hyderabad,18-08-26,3,5,38395,Relaxed,Private Apartments,Beaches|Food,Langkawi
Kochi,23-07-26,2,2,19148,Relaxed,Mid-range Hotels,Spiritual,Varanasi
Kolkata,28-01-26,6,1,18416,Balanced,Private Apartments,Adventure,Pokhara
Kolkata,09-08-26,6,5,49214,Balanced,Private Apartments,Adventure|Nature,Ladakh
Delhi,23-08-26,6,1,21041,Relaxed,Budget,Culture|History,Shimla
Hyderabad,06-10-26,5,4,138917,Relaxed,Luxury Hotels,Beaches|Food,Maldives
Chennai,07-12-25,5,2,99171,Action-Packed,Luxury Hotels,Food,Dubai
Mumbai,22-07-26,4,6,98720,Relaxed,Private Apartments,Beaches|Nightlife,Maldives
Jaipur,18-06-26,5,4,31173,Balanced,Mid-range Hotels,Adventure|Beaches,Da Nang
Mumbai,14-01-26,1,4,15443,Relaxed,Mid-range Hotels,History|Nature|Spiritual,Varanasi
Pune,28-02-26,1,5,16799,Relaxed,Mid-range Hotels,History,Varanasi
Mumbai,21-09-26,8,6,22235,Relaxed,Private Apartments,Culture|Nature,Manali
Mumbai,04-10-26,5,1,58462,Balanced,Mid-range Hotels,Beaches|History|Nightlife,Istanbul
Kochi,22-07-26,5,4,31997,Relaxed,Mid-range Hotels,Nature,Langkawi
Mumbai,22-04-26,4,6,23483,Relaxed,Mid-range Hotels,Food,Colombo
Kolkata,01-09-26,4,6,16781,Relaxed,Budget,History|Nature,Pokhara
Ahmedabad,01-09-26,4,1,44335,Balanced,Luxury Hotels,Culture|Food|Nightlife,Istanbul
Bangalore,20-08-26,8,5,53495,Balanced,Private Apartments,Food|History|Spiritual,Andaman & Nicobar Islands
Mumbai,04-03-26,5,6,50355,Balanced,Luxury Hotels,Culture|Food,Singapore
Jaipur,13-11-25,6,2,129942,Relaxed,Private Apartments,Beaches|Nightlife|Spiritual,Maldives
Kolkata,21-06-26,7,2,65261,Balanced,Mid-range Hotels,Culture|Spiritual,Istanbul
Kochi,02-02-26,5,1,30678,Balanced,Mid-range Hotels,Food|Nature,Phuket
Kochi,30-11-25,6,6,40435,Balanced,Private Apartments,Adventure|Culture|History,Ladakh
Chennai,14-08-26,4,6,23380,Balanced,Private Apartments,Adventure,Manali
Ahmedabad,06-07-26,7,6,53765,Balanced,Luxury Hotels,Culture|Nature,Istanbul
Jaipur,03-05-26,3,5,37845,Action-Packed,Private Apartments,Food|Nightlife,Goa
Bangalore,08-02-26,11,4,52651,Action-Packed,Mid-range Hotels,Adventure|Nature,Ladakh
Kochi,18-11-25,6,4,28728,Relaxed,Mid-range Hotels,Culture|Nature,Coorg
Delhi,18-12-25,3,3,28037,Balanced,Mid-range Hotels,Beaches|Food,Jaipur
Hyderabad,12-02-26,3,3,25423,Relaxed,Private Apartments,History|Nature|Spiritual,Pokhara
Kolkata,13-10-26,2,2,25988,Relaxed,Mid-range Hotels,Food|Nature,Colombo
Delhi,08-03-26,3,3,33676,Balanced,Private Apartments,Beaches|Nature|Spiritual,Da Nang
Pune,08-11-25,3,2,18361,Balanced,Private Apartments,Adventure|Culture|Nature,Pokhara
Chennai,31-05-26,5,5,44610,Relaxed,Mid-range Hotels,Adventure|Beaches|Nightlife,Langkawi
Delhi,18-08-26,6,1,38811,Balanced,Mid-range Hotels,Beaches|Food,Phuket
Pune,31-08-26,6,5,13397,Relaxed,Mid-range Hotels,Beaches|Nature,Shimla
Hyderabad,18-08-26,3,5,38395,Relaxed,Private Apartments,Beaches|Food,Langkawi
Mumbai,09-08-26,4,2,27679,Relaxed,Private Apartments,Nature,Coorg
Pune,24-10-26,3,6,67491,Action-Packed,Luxury Hotels,Nightlife,Dubai
Kolkata,21-07-26,5,4,44281,Relaxed,Luxury Hotels,Food|History,Andaman & Nicobar Islands
Delhi,01-05-26,5,1,57879,Relaxed,Mid-range Hotels,Food|History,Bali
Bangalore,18-10-26,6,5,38056,Relaxed,Luxury Hotels,Adventure|Beaches|Culture,Bali
Ahmedabad,29-09-26,3,1,18547,Relaxed,Mid-range Hotels,Culture|Spiritual,Varanasi
Kochi,15-01-26,5,2,67567,Balanced,Mid-range Hotels,Culture|Food|Spiritual,Singapore
Pune,01-07-26,1,6,13573,Relaxed,Budget,Beaches|Culture|Spiritual,Varanasi
Ahmedabad,20-04-26,4,1,20223,Balanced,Budget,Adventure|History|Spiritual,Pokhara
Kolkata,01-09-26,4,6,16781,Relaxed,Budget,History|Nature,Pokhara
Jaipur,13-11-25,6,2,129942,Relaxed,Private Apartments,Beaches|Nightlife|Spiritual,Maldives
Delhi,08-01-26,2,4,16362,Relaxed,Mid-range Hotels,Nature,Shimla
Kolkata,04-03-26,3,4,55808,Balanced,Mid-range Hotels,Beaches|Food,Singapore
Kolkata,23-12-25,5,5,21634,Balanced,Mid-range Hotels,Adventure|Beaches|History,Shimla
Pune,29-07-26,6,3,23776,Relaxed,Mid-range Hotels,History|Nature,Coorg
Pune,18-10-26,5,1,12635,Relaxed,Budget,Adventure|Culture|Spiritual,Manali
Pune,26-08-26,4,3,32995,Balanced,Mid-range Hotels,Adventure|Culture|Nature,Da Nang
Hyderabad,30-10-26,6,1,27004,Relaxed,Budget,Nature,Shimla
Bangalore,24-04-26,3,1,26992,Relaxed,Mid-range Hotels,Beaches|Culture,Colombo
Bangalore,04-02-26,6,1,46555,Action-Packed,Budget,Food,Goa
Hyderabad,07-05-26,8,4,42454,Balanced,Luxury Hotels,History|Nature,Bali
Pune,17-01-26,3,3,17555,Relaxed,Private Apartments,Culture|Food|Nature,Coorg
Bangalore,18-07-26,6,1,100361,Relaxed,Luxury Hotels,Beaches,Maldives
Mumbai,15-10-26,3,1,19289,Relaxed,Budget,History,Varanasi
Chennai,25-01-26,6,2,43147,Relaxed,Private Apartments,Beaches,Langkawi
Chennai,26-07-26,5,5,39627,Relaxed,Mid-range Hotels,Beaches,Langkawi
Ahmedabad,02-11-25,4,2,29464,Relaxed,Private Apartments,Culture|Food|Nightlife,Coorg
Pune,15-05-26,4,6,32879,Balanced,Private Apartments,Culture,Da Nang
Kochi,08-12-25,4,1,30689,Relaxed,Private Apartments,Food|Nature,Coorg
Kolkata,06-05-26,4,1,37111,Balanced,Private Apartments,Culture,Jaipur
Bangalore,20-06-26,3,5,45894,Balanced,Budget,Adventure|Food,Phuket
Bangalore,25-12-25,5,6,14913,Relaxed,Budget,Nature,Shimla
Delhi,06-07-26,5,3,73377,Balanced,Mid-range Hotels,Food|History,Singapore
Jaipur,27-04-26,4,6,20930,Relaxed,Mid-range Hotels,Adventure|Culture,Colombo
Kolkata,18-08-26,3,6,15941,Balanced,Budget,Spiritual,Pokhara
Kochi,22-05-26,6,1,66212,Balanced,Luxury Hotels,Nightlife,Dubai
Mumbai,15-09-26,4,2,22322,Action-Packed,Private Apartments,Adventure,Rishikesh
Hyderabad,23-07-26,4,1,27769,Relaxed,Budget,Food,Colombo
Pune,28-12-25,4,2,67026,Balanced,Luxury Hotels,Beaches|Culture,Singapore
Kolkata,06-02-26,3,1,16934,Relaxed,Budget,Beaches|History,Varanasi
Jaipur,29-10-26,4,1,16668,Action-Packed,Private Apartments,Adventure|Spiritual,Rishikesh
Mumbai,11-09-26,7,6,38911,Balanced,Mid-range Hotels,Food,Phuket
Kolkata,06-07-26,9,1,68701,Balanced,Mid-range Hotels,Adventure,Ladakh
Jaipur,07-08-26,3,3,17683,Relaxed,Mid-range Hotels,History,Shimla
Chennai,05-06-26,5,6,27490,Balanced,Budget,Food,Goa
Jaipur,19-08-26,3,2,34716,Balanced,Mid-range Hotels,Culture|History,Jaipur
Kochi,15-07-26,3,4,17753,Balanced,Private Apartments,Nature|Nightlife,Rishikesh
Bangalore,22-03-26,3,4,29554,Relaxed,Private Apartments,Food,Coorg
Bangalore,21-05-26,6,5,16264,Balanced,Mid-range Hotels,Adventure|Food|Nature,Shimla
Bangalore,23-07-26,4,4,41085,Balanced,Budget,Nightlife,Phuket
Kochi,28-05-26,5,1,21186,Relaxed,Private Apartments,Adventure,Pokhara
Chennai,27-10-26,6,5,31054,Relaxed,Mid-range Hotels,Nature,Langkawi
Jaipur,26-03-26,5,4,18828,Balanced,Budget,Adventure,Rishikesh
Kolkata,15-04-26,6,6,36121,Balanced,Mid-range Hotels,Beaches|Nature,Da Nang
Mumbai,18-02-26,6,6,46963,Action-Packed,Private Apartments,Adventure,Ladakh
Mumbai,17-09-26,6,4,19151,Balanced,Budget,Adventure|Nature,Shimla
Bangalore,06-05-26,3,3,22669,Relaxed,Private Apartments,Adventure|Culture|Nature,Manali
Chennai,09-02-26,6,1,26091,Relaxed,Private Apartments,Nature,Coorg
Jaipur,20-01-26,5,1,34590,Balanced,Mid-range Hotels,Nature|Nightlife,Phuket
Hyderabad,24-09-26,4,1,67151,Balanced,Luxury Hotels,Nature|Nightlife,Singapore
Mumbai,11-08-26,2,1,32763,Balanced,Mid-range Hotels,Food|History,Jaipur
Mumbai,22-12-25,5,3,44063,Relaxed,Mid-range Hotels,Adventure|Beaches,Langkawi
Kolkata,20-03-26,4,5,38642,Relaxed,Private Apartments,Beaches,Langkawi
Jaipur,07-12-25,4,1,60477,Balanced,Mid-range Hotels,Adventure|Nightlife,Singapore
Mumbai,04-10-26,5,1,58462,Balanced,Mid-range Hotels,Beaches|History|Nightlife,Istanbul
Pune,08-11-25,3,2,18361,Balanced,Private Apartments,Adventure|Culture|Nature,Pokhara
Jaipur,29-12-25,5,4,122028,Relaxed,Private Apartments,Food|Nature|Spiritual,Maldives
Pune,28-10-26,6,6,35840,Balanced,Luxury Hotels,Beaches|Culture|Food,Bali
Ahmedabad,16-02-26,4,4,38253,Relaxed,Mid-range Hotels,Beaches|Nature|Spiritual,Langkawi
Chennai,03-05-26,7,5,47982,Action-Packed,Mid-range Hotels,Adventure|History,Ladakh
Mumbai,17-11-25,7,5,54914,Balanced,Mid-range Hotels,Nature,Bali
Hyderabad,12-06-26,4,5,52462,Balanced,Luxury Hotels,Culture|Nightlife,Istanbul
Mumbai,13-10-26,3,3,22574,Relaxed,Private Apartments,Nature,Pokhara
Kolkata,13-02-26,6,2,36645,Balanced,Budget,Food|Spiritual,Goa
Delhi,10-11-25,4,2,58733,Balanced,Mid-range Hotels,Food|Nightlife,Singapore
Ahmedabad,10-10-26,6,4,47758,Action-Packed,Private Apartments,Food|Nature,Ladakh
Kochi,03-05-26,4,4,18384,Relaxed,Private Apartments,Culture,Ooty
Mumbai,11-07-26,5,2,29069,Balanced,Private Apartments,Culture,Jaipur
Chennai,22-01-26,9,4,50655,Action-Packed,Private Apartments,Culture|Nature,Ladakh
Pune,26-08-26,3,1,13915,Relaxed,Mid-range Hotels,Culture|Food|History,Varanasi
Chennai,18-12-25,5,6,98933,Relaxed,Luxury Hotels,Beaches|History|Nature,Maldives
Hyderabad,08-07-26,5,4,54276,Balanced,Mid-range Hotels,Beaches,Bali
Delhi,16-12-25,6,1,32811,Balanced,Budget,Beaches|Culture,Goa
Pune,20-02-26,5,1,56011,Relaxed,Mid-range Hotels,Beaches|Food,Langkawi
Ahmedabad,20-12-25,3,1,40293,Balanced,Budget,Beaches,Phuket
Ahmedabad,03-05-26,6,3,55919,Balanced,Luxury Hotels,Food,Istanbul
Bangalore,25-02-26,2,6,16641,Relaxed,Mid-range Hotels,Culture,Varanasi
Kolkata,25-09-26,2,6,17206,Relaxed,Mid-range Hotels,Culture|Nightlife,Varanasi
Jaipur,19-02-26,5,2,132467,Relaxed,Private Apartments,Adventure|History|Nature,Maldives
Ahmedabad,28-07-26,3,1,20185,Relaxed,Mid-range Hotels,Adventure|Culture|Food,Coorg
Bangalore,08-10-26,7,2,50622,Balanced,Private Apartments,Beaches|Nature,Andaman & Nicobar Islands
Mumbai,01-03-26,6,5,28079,Balanced,Private Apartments,Adventure|Beaches,Goa
Mumbai,21-11-25,5,4,24150,Balanced,Private Apartments,Food|Nightlife,Jaipur
Bangalore,18-08-26,5,5,19387,Action-Packed,Budget,Adventure|Nightlife|Spiritual,Rishikesh
Mumbai,20-08-26,4,3,20942,Relaxed,Budget,Culture,Ooty
Ahmedabad,16-04-26,1,5,10944,Relaxed,Mid-range Hotels,History,Varanasi
Bangalore,23-07-26,4,4,41085,Balanced,Budget,Nightlife,Phuket
Ahmedabad,30-09-26,4,6,62134,Balanced,Luxury Hotels,History|Nightlife,Singapore
Kolkata,20-03-26,4,1,26223,Relaxed,Budget,History|Nature,Ooty
Ahmedabad,10-05-26,6,5,43020,Balanced,Budget,Beaches|Nightlife,Phuket
Kochi,27-11-25,5,5,43541,Relaxed,Luxury Hotels,Beaches,Bali
Ahmedabad,17-02-26,3,5,23997,Balanced,Private Apartments,Food|Nightlife,Jaipur
Jaipur,26-11-25,4,6,48543,Balanced,Luxury Hotels,History,Istanbul
Kolkata,09-06-26,3,5,43196,Relaxed,Private Apartments,Beaches|Culture|History,Langkawi
Kolkata,16-07-26,4,2,33026,Balanced,Mid-range Hotels,Food|Nature,Da Nang
Delhi,10-07-26,4,5,19766,Relaxed,Private Apartments,Food|Nature,Ooty
Chennai,15-02-26,6,5,29852,Relaxed,Private Apartments,Beaches,Langkawi
Hyderabad,08-06-26,3,2,25267,Balanced,Budget,Culture|Nature|Spiritual,Shimla
Chennai,21-11-25,3,5,19464,Action-Packed,Private Apartments,Nature,Rishikesh
Chennai,26-06-26,2,5,12416,Balanced,Private Apartments,Adventure|Nightlife,Rishikesh
